Library,Anchor,R2
MK-2206,Pictilisib,0.6126200529956478
Lapatinib,MK-2206,0.612524415879908
Ribociclib,Axitinib,0.6125150330356012
Cisplatin,LGK974,0.6119456502260389
KU-55933,Lapatinib,0.6111296464927236
SCH772984,5-Fluorouracil,0.6092088315972144
MK-2206,Trametinib,0.6078936984908987
Nutlin-3a (-),PD173074,0.6068685685478616
Palbociclib,BMS-754807,0.602794560597157
Temozolomide,Axitinib,0.601559853581447
Pictilisib,MK-2206,0.6015388558047479
Ruxolitinib,Dactolisib,0.6012375239776135
MK-2206,5-Fluorouracil,0.5994705331816443
AZD8055,Temozolomide,0.5992915388354665
MK-2206,Palbociclib,0.5986041753716487
Taselisib,Erlotinib,0.5978009357765266
MK-2206,AZD8055,0.5976235310723481
ZM447439,5-Fluorouracil,0.5964825079024922
Dasatinib,OSI-027,0.5954897941892652
Camptothecin,Gemcitabine,0.594163439328416
PD173074,Cisplatin,0.5936910613005664
Oxaliplatin,Lapatinib,0.5935254485286618
Uprosertib,Trametinib,0.5912989698730066
Palbociclib,Dabrafenib,0.5902258148834838
Irinotecan,Sorafenib,0.5882723143225645
MK-2206,AZD4547,0.5875924791229294
ZM447439,Pictilisib,0.587018045458658
RO-3306,MK-2206,0.5869688424654
Taselisib,AZD8055,0.5864753631144486
SB505124,Nutlin-3a (-),0.585652088552294
Linsitinib,Palbociclib,0.5850501560663105
SCH772984,Taselisib,0.5848766166207542
Dasatinib,Erlotinib,0.583440452230438
Docetaxel,Axitinib,0.583001858905814
Trametinib,Pictilisib,0.582096201375613
Dactolisib,5-Fluorouracil,0.5788272872457184
MK-2206,Nutlin-3a (-),0.5781130429947803
Pictilisib,Taselisib,0.5768609272697591
PD173074,Linsitinib,0.576059695953161
PD173074,Lapatinib,0.5752229057232163
NU7441,Taselisib,0.5747703045135589
AZD6482,5-Fluorouracil,0.574663157546829
Bortezomib,Taselisib,0.5743602855550318
Ribociclib,OSI-027,0.5734815924587914
MK-2206,Dabrafenib,0.5723989813591875
AZD8055,Taselisib,0.5718473023332127
Cisplatin,Navitoclax,0.571740359906344
Doramapimod,5-Fluorouracil,0.5709580672361407
Camptothecin,PD173074,0.5701803683532762
Camptothecin,MK-2206,0.5691602250274389
Navitoclax,SCH772984,0.5687636592621446
PD173074,Nutlin-3a (-),0.5682555406248553
Nilotinib,Gemcitabine,0.5672264630942156
SCH772984,Lapatinib,0.5671441678041791
Pictilisib,Linsitinib,0.5670527360824517
BI-2536,Palbociclib,0.5668913512430359
Nutlin-3a (-),AZD7762,0.5652791069125847
NU7441,Cisplatin,0.5651674896167891
BMS-754807,AZD8055,0.5639481578939154
MK-2206,Afatinib,0.5638217953928251
ZM447439,Linsitinib,0.5633732461844698
BI-2536,PD173074,0.5628906014725941
Venetoclax,Vorinostat,0.5617690888369136
MK-2206,OSI-027,0.5603500559979001
AZD7762,Dabrafenib,0.55921167325395
Dasatinib,AZD7762,0.5590138522450645
GSK269962A,Pictilisib,0.5588086557968885
AZD7762,Linsitinib,0.5581830679760942
AZD7762,Afatinib,0.5578229389526328
AZD6482,Crizotinib,0.557651419937466
Linsitinib,Taselisib,0.5575973332781006
Dactolisib,Linsitinib,0.5575590993550548
OSI-027,Oxaliplatin,0.5572947605571275
Linsitinib,Paclitaxel,0.5572230472226276
Dasatinib,Crizotinib,0.5569723629051371
Venetoclax,Nutlin-3a (-),0.5562316209941732
Pictilisib,Navitoclax,0.5547086443152778
AZD6482,MK-2206,0.553517844083816
Dasatinib,Irinotecan,0.5529497674628514
Alisertib,Navitoclax,0.551948817807774
Oxaliplatin,SCH772984,0.5511487636526733
Taselisib,OSI-027,0.5510593819710505
Irinotecan,Ruxolitinib,0.5504128435560551
Pictilisib,Lapatinib,0.5494994388221203
Camptothecin,OSI-027,0.5490573195255462
Crizotinib,Dasatinib,0.5486583742950815
MK-2206,Bortezomib,0.5480435792196012
Afatinib,MK-1775,0.5478539897954575
Sorafenib,Cisplatin,0.5473450697039063
MK-2206,Cisplatin,0.54617421282115
BI-2536,Navitoclax,0.5460856971516496
Gemcitabine,SCH772984,0.5459410096574134
Uprosertib,Nutlin-3a (-),0.5449263491146781
Tozasertib,Cisplatin,0.5445450607976621
Navitoclax,Oxaliplatin,0.5441102929788227
5-Fluorouracil,SCH772984,0.5439997227991726
Crizotinib,Vorinostat,0.5439350234391884
Afatinib,SCH772984,0.543355590208485
KU-55933,Cisplatin,0.5424315728920386
ZM447439,Lapatinib,0.540393588515522
Cisplatin,AZD7762,0.5399130456005907
Camptothecin,Docetaxel,0.5389390955763129
Linsitinib,Lapatinib,0.538876567213871
OSI-027,Gemcitabine,0.5384188593885142
Nutlin-3a (-),MK-1775,0.5382169575438882
Dasatinib,Sorafenib,0.5369629802441636
AZD7762,PD173074,0.5367487249995311
Uprosertib,Lapatinib,0.5360287154939821
Camptothecin,AZD8055,0.5357876268340509
Trametinib,PD173074,0.5357002334752984
Paclitaxel,Pictilisib,0.5349305602928889
NU7441,Nutlin-3a (-),0.5344817522307158
Paclitaxel,Dactolisib,0.5342348374769403
Uprosertib,Crizotinib,0.5341233076918372
KU-55933,Docetaxel,0.5338952132497536
Gemcitabine,PD173074,0.5330070594563121
Entinostat,PD173074,0.5327462521256545
MK-2206,Camptothecin,0.5323892707972537
SB505124,5-Fluorouracil,0.5320095364064368
Gemcitabine,Crizotinib,0.5316374774216863
MK-2206,Crizotinib,0.5309674930793941
AZD8055,Linsitinib,0.530793531131756
Docetaxel,OSI-027,0.5296970532983063
Trametinib,Oxaliplatin,0.5282985104699719
Paclitaxel,Gemcitabine,0.5270156978915155
Linsitinib,Bortezomib,0.5268895710327991
5-Fluorouracil,Axitinib,0.5265533720516369
AZD8055,Gemcitabine,0.5264893393993664
KU-55933,Linsitinib,0.5260654920475107
5-Fluorouracil,Oxaliplatin,0.525780743967448
Camptothecin,Crizotinib,0.5249435405840048
AZD7762,Trametinib,0.5246168125007098
Trametinib,BMS-754807,0.5244829762684009
PF-4708671,Docetaxel,0.5244526336108677
Palbociclib,AZD8055,0.524107041905207
Camptothecin,Axitinib,0.5238356020135216
LGK974,Vinorelbine,0.5236242799287474
Uprosertib,Linsitinib,0.5235839339009409
Temozolomide,PD173074,0.5233962321062039
Doramapimod,Nutlin-3a (-),0.5232550143156117
Palbociclib,Vorinostat,0.5224595437796196
KU-55933,Olaparib,0.5220658604808586
Axitinib,Pictilisib,0.5218341594184448
KU-55933,Taselisib,0.5218105911738818
5-Fluorouracil,MK-2206,0.5203535078569196
Gemcitabine,Axitinib,0.5202303735755933
Venetoclax,Cisplatin,0.5199977366288332
ZM447439,Taselisib,0.517986864086668
Dabrafenib,Pictilisib,0.5178502643837632
SB505124,AZD4547,0.5175082294329427
Ribociclib,Bortezomib,0.5173748580867694
MK-2206,SCH772984,0.5170642616868111
NU7441,Vorinostat,0.517001221200132
Palbociclib,Nutlin-3a (-),0.5169293204714172
5-Fluorouracil,Camptothecin,0.5168554383825473
ZM447439,Nutlin-3a (-),0.5164676536825371
Linsitinib,AZD4547,0.5159684375377314
Linsitinib,SCH772984,0.5147592195524917
ZM447439,MK-1775,0.5146457042506372
Oxaliplatin,Dabrafenib,0.514360381300994
Uprosertib,Vorinostat,0.5136483794030612
BMS-754807,MK-2206,0.5135923748585466
5-Fluorouracil,Cisplatin,0.5134491139954585
SCH772984,LGK974,0.5134130127810312
AZD7762,OSI-027,0.5131675592842175
Navitoclax,BMS-754807,0.5124321907571789
GSK269962A,Vorinostat,0.5119252389287112
Erlotinib,MK-1775,0.5118632789839412
Uprosertib,5-Fluorouracil,0.5118595768786784
LGK974,BMS-754807,0.5117792257366838
Sorafenib,MK-1775,0.5117689141958949
Cisplatin,Irinotecan,0.5112953813673147
PF-4708671,Crizotinib,0.5112916585887648
Cisplatin,Docetaxel,0.5100323367353594
Paclitaxel,Palbociclib,0.5094716268006034
Cisplatin,Erlotinib,0.5091738045795269
NU7441,MK-2206,0.5088218199188015
Dasatinib,Paclitaxel,0.5075195391239076
5-Fluorouracil,Olaparib,0.5072260040785147
Trametinib,Crizotinib,0.506873514655258
RO-3306,Gemcitabine,0.5066164165751257
Dabrafenib,MK-2206,0.5054769799521078
Uprosertib,OSI-027,0.5050734345027548
Taselisib,BMS-754807,0.5050135486983583
Alpelisib,Lapatinib,0.5045795453207554
Olaparib,Palbociclib,0.504238007369622
SB505124,BMS-754807,0.5042289993118233
SCH772984,OSI-027,0.5040824516115165
SCH772984,Nutlin-3a (-),0.5037226895809357
PF-4708671,Temozolomide,0.5036638746829756
KU-55933,AZD7762,0.5024413339854653
BMS-754807,MK-1775,0.5017656305173002
Temozolomide,Taselisib,0.5016835092432986
Erlotinib,Dactolisib,0.5011968078786194
Alpelisib,Axitinib,0.501140309928287
Dabrafenib,BMS-754807,0.500869850479306
Irinotecan,SCH772984,0.5007718685477348
Docetaxel,Palbociclib,0.5005865439304673
Crizotinib,Pictilisib,0.5005363755497392
Dasatinib,5-Fluorouracil,0.5003698381177425
Afatinib,Vinorelbine,0.49948264061950964
OSI-027,Linsitinib,0.49938322688012293
Venetoclax,Axitinib,0.4986202623097581
Linsitinib,Afatinib,0.4983558874630938
SB505124,MK-2206,0.49834376011027903
ZM447439,Navitoclax,0.49819424235246124
Oxaliplatin,Erlotinib,0.49763412598518275
Taselisib,Palbociclib,0.49701320468147814
ZM447439,Vorinostat,0.4969975165295081
KU-55933,MK-2206,0.4966970737261537
LGK974,Dabrafenib,0.4963503084715668
OSI-027,MK-2206,0.49627543041487465
AZD6482,Palbociclib,0.49538193110660167
Ribociclib,Gemcitabine,0.4950742987397597
Cisplatin,Luminespib,0.49479289768723933
Crizotinib,Navitoclax,0.4945021421598539
Linsitinib,AZD8055,0.49415378485990913
Paclitaxel,Axitinib,0.4938238757904647
Dactolisib,Sorafenib,0.49374391823312946
PF-4708671,Nutlin-3a (-),0.4933386065557319
Pictilisib,5-Fluorouracil,0.49325458668932887
Linsitinib,Erlotinib,0.4932220381472038
GSK269962A,PD173074,0.4929070828078709
ZM447439,PD173074,0.4928382331562261
Dabrafenib,MK-1775,0.4927457789963541
Afatinib,Pictilisib,0.49250714238439275
Irinotecan,Navitoclax,0.49241952446418447
NU7441,Olaparib,0.4921524586061371
Trametinib,Dactolisib,0.4920351005595981
Venetoclax,Crizotinib,0.49202281564943895
RO-3306,Crizotinib,0.49166298779003925
PF-4708671,Vorinostat,0.4902475778721146
Cisplatin,Crizotinib,0.4900124899029349
Vinorelbine,AZD8055,0.4899911222090326
Linsitinib,MK-2206,0.4897534898714482
Gemcitabine,Dactolisib,0.48913205427041906
Paclitaxel,Sorafenib,0.4886078196485564
Alpelisib,Olaparib,0.4885218202022684
Dactolisib,Taselisib,0.4881733170588195
BMS-754807,Afatinib,0.48785519723958637
GSK269962A,MK-2206,0.4877522783366186
Camptothecin,AZD7762,0.48730995426108825
Linsitinib,BMS-754807,0.4867949196146629
Docetaxel,Crizotinib,0.4861167530730244
BI-2536,Linsitinib,0.4855259196974647
ZM447439,OSI-027,0.4854615170144996
Vinorelbine,Palbociclib,0.48531534916769614
5-Fluorouracil,Crizotinib,0.48487935145476735
Paclitaxel,Crizotinib,0.484775027832547
Afatinib,Taselisib,0.4847702985132839
Alisertib,Axitinib,0.4847623445383993
Linsitinib,Crizotinib,0.4847005497964356
Nutlin-3a (-),Axitinib,0.4845214246770606
Temozolomide,Navitoclax,0.4844499248896811
SB505124,Palbociclib,0.4844234573381353
Temozolomide,MK-2206,0.484242304160869
Olaparib,OSI-027,0.48417723564516957
Dabrafenib,Docetaxel,0.48410139417378195
Venetoclax,AZD7762,0.4830973396884105
Nutlin-3a (-),Crizotinib,0.48300657675551095
Lapatinib,Palbociclib,0.48271338065309244
Vorinostat,OSI-027,0.48253056556816165
BI-2536,Trametinib,0.48160339726276946
Irinotecan,Linsitinib,0.4800153768295392
ZM447439,MK-2206,0.4793384913961499
AZD7762,Axitinib,0.4792314038935175
Vorinostat,Navitoclax,0.4792233004919467
NU7441,Axitinib,0.4792189466119322
Palbociclib,Trametinib,0.47798720652049076
Alpelisib,PD173074,0.4774439772450334
5-Fluorouracil,BMS-754807,0.4773413772545284
Palbociclib,Axitinib,0.4773074790443179
SCH772984,Crizotinib,0.4765412929303817
ZM447439,Gemcitabine,0.47619669370409157
Paclitaxel,Oxaliplatin,0.47603576283733784
Vorinostat,Pictilisib,0.4753815017332669
Lapatinib,SCH772984,0.4753052655595664
Palbociclib,Olaparib,0.47499242061895974
Alisertib,Vorinostat,0.4746252314113678
SCH772984,Cisplatin,0.4740171432013355
AZD4547,AZD8055,0.47384871915270366
Trametinib,AZD4547,0.47358775401338593
Lapatinib,Taselisib,0.4729933021319991
Irinotecan,Crizotinib,0.4728413826778036
Taselisib,Lapatinib,0.4727398999417529
MK-1775,Palbociclib,0.47243783492184355
RO-3306,Taselisib,0.4720108498254426
AZD7762,Taselisib,0.4715989882337607
Entinostat,Linsitinib,0.47140245375651
BMS-754807,Camptothecin,0.47137576834755546
Temozolomide,Bortezomib,0.47135228418081865
Dactolisib,Palbociclib,0.4712766912947315
SB505124,Linsitinib,0.47121222942304597
SCH772984,Linsitinib,0.4703470831790848
SCH772984,Dactolisib,0.4699878243585165
Taselisib,Dactolisib,0.46980579705561154
5-Fluorouracil,Linsitinib,0.46968285225060635
Erlotinib,Ruxolitinib,0.46929873374813524
Taselisib,Paclitaxel,0.46806423265749064
5-Fluorouracil,Bortezomib,0.4678954560345667
Vorinostat,Lapatinib,0.46753835072685856
Oxaliplatin,OSI-027,0.4672376479551771
Palbociclib,5-Fluorouracil,0.46718070035027326
Oxaliplatin,5-Fluorouracil,0.4669308988857045
MK-2206,Linsitinib,0.46593113938853425
Pictilisib,AZD7762,0.46567335411532174
Cisplatin,Axitinib,0.46477286830163755
Entinostat,Navitoclax,0.46416527449058964
Axitinib,Taselisib,0.46374711688698556
Docetaxel,Gemcitabine,0.4636866597423963
Gemcitabine,LGK974,0.4636635146180985
Erlotinib,Paclitaxel,0.46364125335266715
Nilotinib,Linsitinib,0.463236959650685
SCH772984,Oxaliplatin,0.4629981754988015
ZM447439,Cisplatin,0.46266949597933127
Alpelisib,5-Fluorouracil,0.4621020941115175
AZD7762,Crizotinib,0.4621019360789804
GSK269962A,MK-1775,0.4617008503544061
Dasatinib,Linsitinib,0.4616336364730954
Oxaliplatin,Ruxolitinib,0.4600063731414612
PD173074,MK-2206,0.45982123916523954
MK-2206,AZD7762,0.45917444152615583
Trametinib,Linsitinib,0.45916110883440353
Navitoclax,Afatinib,0.45884221938520175
Tozasertib,Pictilisib,0.45879504594668996
Uprosertib,Navitoclax,0.4587254053930263
Vinorelbine,Oxaliplatin,0.4573252138202277
Ribociclib,Crizotinib,0.4571812172479216
JQ1,Cisplatin,0.4570014668465653
RO-3306,Nutlin-3a (-),0.4569614992777745
Linsitinib,5-Fluorouracil,0.4568666358081829
AZD6482,Linsitinib,0.4567983140676839
Dasatinib,Cisplatin,0.4565787583996167
Erlotinib,Dasatinib,0.45598665085376444
RO-3306,Olaparib,0.455741652710128
Palbociclib,AZD7762,0.45514561444597
Afatinib,Crizotinib,0.4541206177163727
SCH772984,Camptothecin,0.45385307379784945
AZD8055,Navitoclax,0.4529880800277143
Irinotecan,Taselisib,0.45292078584968787
NU7441,OSI-027,0.4524646614760208
Crizotinib,Ruxolitinib,0.452006075236127
SCH772984,Palbociclib,0.451517752103732
AZD7762,Pictilisib,0.4513430659446519
PF-4708671,PD173074,0.45094220145987307
Alpelisib,MK-2206,0.450716563921973
LGK974,Trametinib,0.44900785071252347
Taselisib,Ruxolitinib,0.44824986494161434
Linsitinib,Dasatinib,0.4478710167966745
SCH772984,Gemcitabine,0.4475225802359666
Linsitinib,PD173074,0.44665137175187775
Dactolisib,MK-2206,0.44662404558937774
SCH772984,Vinorelbine,0.4466171504927974
MK-2206,BMS-754807,0.44631931523769297
Camptothecin,BMS-754807,0.4462354336929043
Cisplatin,Trametinib,0.44587777138287865
KU-55933,Trametinib,0.44582745675133384
Alisertib,Gemcitabine,0.4454769129793248
Erlotinib,Olaparib,0.44414425894775644
SB505124,Crizotinib,0.44395627395456594
Bortezomib,Cisplatin,0.44345003256144166
Pictilisib,Palbociclib,0.44312294844981326
Dabrafenib,OSI-027,0.4428590491709119
OSI-027,Dasatinib,0.4426368483796378
SCH772984,Pictilisib,0.4425835125759485
AZD7762,Oxaliplatin,0.4413828550181427
Temozolomide,Linsitinib,0.4413698906004174
Olaparib,Vorinostat,0.44124921009042384
Dabrafenib,Vinorelbine,0.44076515545151584
BI-2536,MK-1775,0.4406143991660185
Lapatinib,OSI-027,0.4405910961645445
Entinostat,Pictilisib,0.4393915221075464
Palbociclib,MK-1775,0.4388854548211638
NU7441,MK-1775,0.43846952190927035
Lapatinib,Pictilisib,0.4380292937215333
Crizotinib,Dactolisib,0.4379699130131737
Palbociclib,Pictilisib,0.43794028985316447
Erlotinib,Crizotinib,0.4372850736655478
MK-2206,Erlotinib,0.437237273634948
Docetaxel,Lapatinib,0.43713729087399
Temozolomide,Pictilisib,0.4367153402065682
Alisertib,Cisplatin,0.4364974524426086
AZD6482,OSI-027,0.43533459736080493
Cisplatin,MK-2206,0.4351108427128968
PF-4708671,AZD7762,0.4350363412789374
MK-2206,PD173074,0.43492636670836826
Alisertib,Crizotinib,0.43430062109729617
Erlotinib,OSI-027,0.4342384763753935
RO-3306,Navitoclax,0.43392499882784785
Navitoclax,Irinotecan,0.4337622560827077
Navitoclax,Olaparib,0.43375944623662577
Linsitinib,Luminespib,0.43349084921674774
Paclitaxel,Linsitinib,0.4328897865322998
Dasatinib,Dactolisib,0.43285196502785894
Nutlin-3a (-),Docetaxel,0.4326002819105378
AZD6482,Pictilisib,0.43249411140761906
AZD8055,MK-2206,0.43212707175729015
Vorinostat,Axitinib,0.43207332165405354
PF-4708671,Olaparib,0.43192761215138387
SCH772984,Olaparib,0.43182133709484083
Taselisib,Trametinib,0.4314280381730421
Afatinib,Cisplatin,0.43117806186952967
OSI-027,Trametinib,0.43000891679128406
Linsitinib,MK-1775,0.42982154645108084
Tozasertib,Navitoclax,0.4292639664698136
SCH772984,Erlotinib,0.4290477220189094
Sorafenib,Oxaliplatin,0.4288414387488715
Afatinib,BMS-754807,0.4288037497000531
LGK974,AZD4547,0.428411505297831
Olaparib,Crizotinib,0.4282264065978496
PF-4708671,Trametinib,0.42805068021832116
Dabrafenib,Taselisib,0.4278847266797551
Olaparib,Dasatinib,0.42787299348163954
Oxaliplatin,MK-2206,0.4274005198529591
Navitoclax,Pictilisib,0.4271690469194743
Afatinib,5-Fluorouracil,0.42668982218398466
AZD8055,Oxaliplatin,0.42668040068731417
AZD7762,Temozolomide,0.4263175635095988
Ribociclib,MK-2206,0.42623357749846713
Alisertib,Pictilisib,0.4258988699118711
Irinotecan,Dactolisib,0.4253600141158381
MK-2206,MK-1775,0.4251312710390147
BMS-754807,Trametinib,0.42386424065443473
LGK974,Paclitaxel,0.4238524078622803
PF-4708671,MK-2206,0.42385214503003177
Camptothecin,Taselisib,0.4237428139249908
Temozolomide,Olaparib,0.42349615592309264
Camptothecin,Dabrafenib,0.42349093370674196
AZD6482,Nutlin-3a (-),0.42295309347636967
LGK974,AZD8055,0.4227123208051984
PD173074,Palbociclib,0.42270407527170806
BI-2536,Lapatinib,0.4219006108370875
Ribociclib,5-Fluorouracil,0.42169693177179146
AZD7762,Vorinostat,0.4214319644467388
Venetoclax,Pictilisib,0.42115070891410844
Dactolisib,OSI-027,0.4202442623227849
Dactolisib,Erlotinib,0.4195943577849952
GSK269962A,Taselisib,0.4194327289370904
Uprosertib,Olaparib,0.4190243065623893
Dabrafenib,Vorinostat,0.4189122267046842
Camptothecin,Oxaliplatin,0.4187243112143746
AZD7762,Irinotecan,0.4186331907967682
PD173074,Gemcitabine,0.41851228214829184
Tozasertib,Linsitinib,0.4184240616428455
Oxaliplatin,Trametinib,0.41790888086864
Cisplatin,Lapatinib,0.4178842766216885
Wee1 Inhibitor,Nutlin-3a (-),0.4173661830156745
AZD7762,AZD8055,0.4170597536337809
OSI-027,Taselisib,0.41694137697604683
Nutlin-3a (-),Oxaliplatin,0.41665598406349424
Oxaliplatin,Palbociclib,0.41653797413327476
NU7441,PD173074,0.41633282399882277
Doramapimod,Trametinib,0.41597817422060734
AZD7762,Dasatinib,0.41568140381731544
Crizotinib,Axitinib,0.4153878068443765
Nilotinib,MK-1775,0.41530005419580607
Tozasertib,Taselisib,0.41528373402286145
Pictilisib,Crizotinib,0.41501348464669685
PD173074,Navitoclax,0.4146832411081858
Wee1 Inhibitor,Trametinib,0.41454994053141137
Oxaliplatin,Crizotinib,0.4144982044027913
Ribociclib,Docetaxel,0.4144939913202622
Crizotinib,Trametinib,0.41440259138538316
RO-3306,Axitinib,0.4140948218899273
JQ1,Nutlin-3a (-),0.41391853824171665
Crizotinib,Luminespib,0.4135316339389836
Nutlin-3a (-),Vinorelbine,0.41300602075584125
Ribociclib,PD173074,0.41282279061275295
Camptothecin,Nutlin-3a (-),0.41277232591409707
Temozolomide,Cisplatin,0.4126328582358587
Nutlin-3a (-),AZD8055,0.4125183289486595
Olaparib,BMS-754807,0.41245371812414733
Oxaliplatin,Linsitinib,0.4122731283545521
Erlotinib,LGK974,0.4117591077757745
MK-1775,BMS-754807,0.4117077931179772
Paclitaxel,Irinotecan,0.4116464022288292
OSI-027,Cisplatin,0.4116258307084457
Navitoclax,Cisplatin,0.41135308806113224
Palbociclib,Lapatinib,0.41100562097101945
AZD7762,MK-2206,0.4106256887458557
BI-2536,Nutlin-3a (-),0.41019430110943556
Ruxolitinib,SCH772984,0.4101012333083376
Crizotinib,MK-2206,0.41007328893236694
MK-1775,Dactolisib,0.41005018424699136
Dactolisib,Oxaliplatin,0.409895582962043
PD173074,Axitinib,0.40957983798787334
Navitoclax,Taselisib,0.409477176308062
PD173074,Bortezomib,0.40917253879654425
JQ1,Axitinib,0.40903419240862027
Cisplatin,Nutlin-3a (-),0.4089846381765093
PD173074,Taselisib,0.4087642772654866
SCH772984,AZD4547,0.40846019131054834
Temozolomide,5-Fluorouracil,0.40798478304918595
5-Fluorouracil,Taselisib,0.4079769627935248
Lapatinib,PD173074,0.4079187269439918
Taselisib,Axitinib,0.4077580322895221
Alpelisib,OSI-027,0.4074603287498698
Vorinostat,Taselisib,0.4074585769463829
NU7441,Bortezomib,0.4066601703292544
PF-4708671,Bortezomib,0.4065688479441131
Docetaxel,Cisplatin,0.40634571371684947
Olaparib,Cisplatin,0.4063295756482127
Alpelisib,Cisplatin,0.4056910116734276
PD173074,Pictilisib,0.4056512077712039
Irinotecan,LGK974,0.4056272305098406
Linsitinib,Oxaliplatin,0.40562072585583275
Gemcitabine,Luminespib,0.4052815616664127
AZD8055,Cisplatin,0.40519336025913333
SB505124,SCH772984,0.40472792171195326
Taselisib,MK-1775,0.40445228919251275
Camptothecin,Lapatinib,0.40438387949272037
BMS-754807,Taselisib,0.40432839791710573
Afatinib,Linsitinib,0.4042415764109847
Wee1 Inhibitor,Palbociclib,0.403904379302346
Temozolomide,Palbociclib,0.4038522759641858
Wee1 Inhibitor,Pictilisib,0.40349999747121446
SCH772984,Dabrafenib,0.40296460060655337
LGK974,MK-1775,0.402475766957343
AZD8055,Trametinib,0.40210086552619706
Sorafenib,Crizotinib,0.40195863543083854
Afatinib,AZD7762,0.40158111806681407
Navitoclax,Lapatinib,0.4012936726343995
Doramapimod,Gemcitabine,0.4011481692616454
Dasatinib,LGK974,0.4010262714160452
MK-2206,Olaparib,0.40098242711553733
Palbociclib,MK-2206,0.40090471392819793
Cisplatin,Dasatinib,0.4005042168670401
Ribociclib,Trametinib,0.4004797725044845
Palbociclib,OSI-027,0.4003313222333713
Gemcitabine,Ruxolitinib,0.3994984422505852
SCH772984,PD173074,0.3993532450269274
AZD4547,Olaparib,0.3987776585262076
Paclitaxel,Lapatinib,0.3986035513696792
Taselisib,Pictilisib,0.3985379626857606
Uprosertib,MK-1775,0.3981170961695787
NU7441,Pictilisib,0.3980692963985132
Palbociclib,Crizotinib,0.3979085622340577
Taselisib,PD173074,0.3976720688793789
Dabrafenib,AZD4547,0.39754991198539713
SCH772984,Trametinib,0.39752812435074447
Trametinib,Erlotinib,0.39740841098608437
Erlotinib,Taselisib,0.3973573131066124
NU7441,Linsitinib,0.3972839110721659
Olaparib,Temozolomide,0.39712729544299763
AZD8055,SCH772984,0.3971114995700159
Dabrafenib,AZD8055,0.396753363368469
OSI-027,Pictilisib,0.39660633121765887
Uprosertib,Axitinib,0.3963736221115851
Trametinib,Bortezomib,0.3961015912041709
Alpelisib,MK-1775,0.39595872439090174
