	name	smiles
142	Tivozanib	CC1=CC(=NO1)NC(=O)NC2=C(C=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC)Cl
143	WYE-125132	CNC(=O)NC1=CC=C(C=C1)C2=NC3=C(C=NN3C4CCC5(CC4)OCCO5)C(=N2)N6CC7CCC(C6)O7
144	GSK690693	CCN1C2=C(C(=NC=C2OC[C@H]3CCCNC3)C#CC(C)(C)O)N=C1C4=NON=C4N
145	SNX-2112	CC1(CC2=C(C(=O)C1)C(=NN2C3=CC(=C(C=C3)C(=O)N)NC4CCC(CC4)O)C(F)(F)F)C
146	QL-X-138	CC1=C(C=C(C=C1)N2C(=O)C=CC3=CN=C4C=CC(=CC4=C32)C5=CNN=C5)NC(=O)C=C
147	T0901317	OC(c1ccc(cc1)N(CC(F)(F)F)[S](=O)(=O)c2ccccc2)(C(F)(F)F)C(F)(F)F
148	Selisistat	C1CC(C2=C(C1)C3=C(N2)C=CC(=C3)Cl)C(=O)N
149	Tenovin-6	CC(C)(C)C1=CC=C(C=C1)C(=O)NC(=S)NC2=CC=C(C=C2)NC(=O)CCCCN(C)C
150	AT7867	C1CNCCC1(C2=CC=C(C=C2)C3=CNN=C3)C4=CC=C(C=C4)Cl
151	CI-1033	[H+].[H+].[Cl-].[Cl-].Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl
152	PF-00299804	COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)NC(=O)/C=C/CN4CCCCC4
153	TWS119	C1=CC(=CC(=C1)N)C2=CC3=C(N2)N=CN=C3OC4=CC=CC(=C4)O
154	Torin 2	C1=CC(=CC(=C1)N2C(=O)C=CC3=CN=C4C=CC(=CC4=C32)C5=CN=C(C=C5)N)C(F)(F)F
155	Pilaralisib	CC(C)(C(=O)NC1=CC(=CC=C1)S(=O)(=O)NC2=NC3=CC=CC=C3N=C2NC4=C(C=CC(=C4)OC)Cl)N
156	GSK1059615	C1=CC2=NC=CC(=C2C=C1/C=C\3/C(=O)NC(=O)S3)C4=CC=NC=C4
157	Voxtalisib	CCN1C2=NC(=NC(=C2C=C(C1=O)C3=CC=NN3)C)N
158	BIBF-1120	CN1CCN(CC1)CC(=O)N(C)C2=CC=C(C=C2)N=C(C3=CC=CC=C3)C4=C(NC5=C4C=CC(=C5)C(=O)OC)O
159	AST-1306	C=CC(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC(=C(C=C3)OCC4=CC(=CC=C4)F)Cl
160	Apitolisib	CC1=C(SC2=C1N=C(N=C2N3CCOCC3)C4=CN=C(N=C4)N)CN5CCN(CC5)C(=O)[C@H](C)O
161	LIMK1 inhibitor BMS4	CCNC(=O)NC1=NC=C(S1)C2=CC(=NC(=N2)C3=NC=CN=C3)C4=C(C=C(C=C4C)OC)C
162	kb NB 142-70	C1CSC2=C(C(=O)N1)SC3=C2C=C(C=C3)O
163	Sphingosine Kinase 1 Inhibitor II	CC1=CC(=CC(=C1)OCC2=CC=C(C=C2)CN3CCCC3CO)CS(=O)(=O)C4=CC=CC=C4
164	CPI-613	C1=CC=C(C=C1)CSCCC(CCCCC(=O)O)SCC2=CC=CC=C2
165	CAY10566	CC1=NN=C(O1)C2=NN=C(C=C2)N3CCC(CC3)OC4=C(C=CC(=C4)F)Cl
166	Ara-G	NC1=NC(=O)c2ncn(C3OC(CO)C(O)C3O)c2N1
167	Pemetrexed	NC1=NC(=O)c2c(CCc3ccc(cc3)C(=O)N[C@H](CCC(O)=O)C(O)=O)c[nH]c2N1
168	Alisertib	COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC
169	Flavopiridol	CN1CC[C@@H]([C@H](O)C1)c2c(O)cc(O)c3C(=O)C=C(Oc23)c4ccccc4Cl
170	C-75	CCCCCCCCC1C(C(=C)C(=O)O1)C(=O)O
171	Trichostatin A	CC(\C=C(C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C
172	Panobinostat	Cc1[nH]c2ccccc2c1CCNCc3ccc(\C=C\C(=O)NO)cc3
173	LCL161	C[C@@H](C(=O)N[C@@H](C1CCCCC1)C(=O)N2CCC[C@H]2C3=NC(=CS3)C(=O)C4=CC=C(C=C4)F)NC
174	IMD-0354	Oc1ccc(Cl)cc1C(=O)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F
175	MIM1	CC1=CSC(=NC2CCCCC2)N1/N=C/C3=C(C(=C(C=C3)O)O)O
176	ETP-45835	C1CNCCC1C2=CC(=NN2)C3=CC=NC=C3.Cl.Cl
177	CD532	C1CCC(C1)C2=CC(=NN2)NC3=NC(=NC=C3)NC4=CC=C(C=C4)NC(=O)NC5=CC=CC(=C5)C(F)(F)F
178	NSC319726	CC(=NNC(=S)N1CCC1)c2ccccn2
179	ARRY-520	CN(C(=O)N1[C@](SC(=N1)C2=C(C=CC(=C2)F)F)(CCCN)C3=CC=CC=C3)OC
180	SB505124	CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4
181	A-83-01	Cc1cccc(n1)c2nn(cc2c3ccnc4ccccc34)C(=S)Nc5ccccc5
182	LDN-193189	C1CN(CCN1)C2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC6=CC=CC=C56)N=C3
183	FTY-720	[H+].[Cl-].CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1
184	BAM7	CCOC1=CC=CC=C1N=NC2=C(NN(C2=O)C3=NC(=CS3)C4=CC=CC=C4)C
185	AGI-6780	C1CC1NS(=O)(=O)C2=CC(=C(C=C2)C3=CSC=C3)NC(=O)NC4=CC=CC(=C4)C(F)(F)F
186	Kobe2602	C1=CC(=CC=C1NC(=S)NNC2=C(C=C(C=C2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-])F
187	LGK974	CC1=CC(=CN=C1C2=CC(=NC=C2)C)CC(=O)NC3=NC=C(C=C3)C4=NC=CN=C4
188	Wnt-C59	CC1=NC=CC(=C1)C2=CC=C(C=C2)CC(=O)NC3=CC=C(C=C3)C4=CN=CC=C4
189	RU-SKI 43	CCC(C)CNCC(=O)N1CCC2=C(C1COC3=CC=CC(=C3)C)C=CS2
190	AICA Ribonucleotide	NC(=O)c1ncn(C2OC(CO[P](O)(O)=O)C(O)C2O)c1N
191	Camptothecin	CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5ccccc5nc34)C2=O
